strain	time	growthrate	sd
CC-2290	T0	1.55	0.16
CC-2290	T1	0.75	0.15
CC-2290	T2	0.79	0.13
CC-2290	T3	0.55	0.27
CC-2290	T4	1.39	0.20
CC-2290	T5	1.25	0.15
CC-2290	T6	0.91	0.38
CC-2342	T0	0.55	0.29
CC-2342	T1	0.88	0.23
CC-2342	T2	0.61	0.29
CC-2342	T3	0.73	0.13
CC-2342	T4	0.83	0.13
CC-2342	T5	0.95	0.17
CC-2342	T6	1.05	0.23
CC-2931	T0	0.62	0.11
CC-2931	T1	1.46	0.28
CC-2931	T2	1.58	0.21
CC-2931	T3	0.74	0.36
CC-2931	T4	1.31	1.12
CC-2931	T5	2.11	0.33
CC-2931	T6	1.68	0.18
CC-2935	T0	0.58	0.12
CC-2935	T1	1.16	0.16
CC-2935	T2	1.20	0.16
CC-2935	T3	0.55	0.20
CC-2935	T4	0.56	0.12
CC-2935	T5	1.28	0.06
CC-2935	T6	1.06	0.08
CC-3059	T0	1.23	0.22
CC-3059	T1	1.21	0.19
CC-3059	T2	0.64	0.16
CC-3059	T3	1.25	0.08
CC-3059	T4	0.85	0.29
CC-3059	T5	0.62	0.03
CC-3059	T6	0.90	0.07
CC-3063	T0	1.01	0.04
CC-3063	T1	1.44	0.11
CC-3063	T2	0.82	0.52
CC-3063	T3	1.06	0.14
CC-3063	T4	0.84	0.33
CC-3063	T5	1.56	0.08
CC-3063	T6	1.12	0.25
CC-3079	T0	0.36	0.06
CC-3079	T1	0.81	0.12
CC-3079	T2	1.87	0.77
CC-3079	T3	1.32	0.18
CC-3079	T4	0.98	0.30
CC-3079	T5	1.18	0.16
CC-3079	T6	0.64	0.22
CC-3084	T0	1.50	0.20
CC-3084	T1	1.06	0.26
CC-3084	T2	1.42	0.17
CC-3084	T3	1.21	0.06
CC-3084	T4	1.30	0.13
CC-3084	T5	1.15	0.06
CC-3084	T6	0.71	0.08
